# Data received in Excel file: 'HUC4HUC5regionalskewdata.xlsx' from Andrea Veilleux, USGS, on Feb. 5, 2018, as an attachement.  Data is thought to be use to define regional flood skew for hydrologic region 04 (Great Lakes) and parts of region 05 (Ohio River Basin).  Data was copied from spreadsheet to text file to facilitate archiving. 
Index	sta_no	rec_length	sta_skew	log_drain_area	latitude	longitude	resid
255	03376500	43	0.163	2.915	38.36914662	-86.96270015	0.077
256	03378550	48	0.101	2.018	38.14313539	-87.66520995	0.015
259	04099510	68	0.093	2.023	41.62630378	-84.98792737	0.006
260	04099750	45	-0.185	2.556	41.63511046	-85.22463245	-0.271
261	04100500	88	-0.508	2.770	41.44251051	-85.58259484	-0.595
262	04177720	44	0.198	1.512	41.55505146	-84.92380288	0.111
263	04179500	39	-0.001	1.970	41.52424323	-85.03916601	-0.087
264	04180000	67	-0.787	2.430	41.37147423	-85.13160906	-0.873
282	03215500	52	0.156	2.337	38.03068832	-82.82925064	0.070
283	03217000	73	0.444	2.383	38.39288476	-83.13974339	0.357
284	03250000	49	-1.293	1.677	38.21434243	-83.35440454	-1.379
285	03250100	44	-0.220	1.928	38.2934256	-83.43782842	-0.307
286	03251000	53	0.307	2.098	38.51197405	-83.66496411	0.221
287	03252500	80	-0.162	2.793	38.18847843	-84.15420734	-0.249
288	03291500	98	0.051	2.641	38.54369595	-84.66215043	-0.035
289	03383000	71	0.603	2.406	37.10979115	-87.6570939	0.517
294	03611260	42	-0.062	1.017	37.0019889	-88.68966284	-0.148
331	03075500	72	0.327	2.128	39.37238042	-79.45003086	0.241
332	03076600	49	0.680	1.692	39.63272878	-79.32197931	0.594
333	03078000	66	0.652	1.795	39.6448381	-79.19624756	0.566
334	04031000	41	0.773	2.299	46.428604	-89.968582	0.686
335	04031500	38	0.167	2.236	46.273995	-89.714953	0.080
337	04033000	66	0.016	2.201	46.262004	-89.145929	-0.070
338	04039500	54	0.070	2.544	46.359848	-89.363812	-0.016
339	04040500	74	-0.202	2.210	46.569748	-88.402662	-0.288
341	04043050	47	-0.555	1.471	47.277713	-88.356936	-0.641
342	04045500	60	-0.296	2.868	46.36423	-85.338039	-0.382
344	04056500	76	0.076	3.056	46.304305	-86.111727	-0.011
345	04057510	47	-0.487	2.262	46.120493	-86.719828	-0.573
346	04057800	54	0.321	1.651	46.541877	-87.912526	0.235
348	04059500	59	-0.181	2.660	46.009071	-87.610639	-0.267
352	04096405	51	-0.398	2.315	42.010586	-84.740148	-0.484
353	04096515	44	-0.210	1.689	41.891788	-84.780615	-0.297
355	04097500	63	-0.067	3.125	42.027403	-85.188086	-0.153
356	04097540	51	-0.203	2.077	41.822039	-85.204539	-0.290
357	04099000	89	0.326	3.275	41.99567	-84.517975	0.239
358	04101800	53	0.804	2.404	42.01409	-86.057209	0.717
359	04102700	47	0.485	1.936	42.324833	-86.057585	0.399
362	04105000	81	0.108	2.441	42.48234	-84.985704	0.022
363	04105500	76	0.224	2.915	42.282799	-84.854463	0.138
365	04106300	44	0.847	1.289	42.204973	-85.624509	0.760
367	04106400	54	0.459	1.405	42.230567	-85.691349	0.373
368	04108800	53	0.114	1.820	42.769045	-85.984228	0.027
369	04109000	78	0.277	2.217	42.181024	-84.344931	0.190
371	04111500	57	0.212	1.224	42.57364	-84.336777	0.126
372	04112000	59	0.194	0.995	42.653226	-84.34668	0.108
373	04112500	110	0.186	2.537	42.633851	-84.210153	0.099
374	04113000	110	0.176	3.097	42.462207	-84.37851	0.090
376	04114498	67	-1.192	2.449	42.82083	-84.378888	-1.278
377	04115000	68	-0.393	2.623	43.085453	-84.470615	-0.479
379	04116500	57	0.601	2.721	43.257171	-85.243729	0.515
380	04117000	59	-0.544	0.881	42.537323	-85.102351	-0.631
382	04118500	57	-0.286	2.400	43.221909	-85.635606	-0.373
383	04119000	169	-0.161	3.692	42.841439	-84.852024	-0.247
384	04121300	47	0.171	2.335	44.26459	-85.35594	0.085
385	04121500	80	-0.448	3.157	44.220845	-85.00612	-0.535
387	04122200	56	0.552	2.607	43.580153	-85.968981	0.466
389	04123500	40	-0.275	2.115	44.857796	-84.849951	-0.361
390	04124000	94	-0.146	2.938	44.597713	-85.179362	-0.232
391	04124500	57	-0.579	1.758	44.10745	-85.415819	-0.665
392	04125460	47	0.450	2.391	44.128733	-85.536994	0.364
394	04127800	47	0.659	1.826	45.039728	-85.021511	0.572
395	04127918	39	0.108	2.326	46.255709	-84.801428	0.022
396	04127997	71	0.074	2.274	45.173929	-84.667136	-0.013
397	04129500	39	-0.553	2.156	45.172559	-84.498084	-0.639
398	04130000	40	-0.171	2.940	45.359729	-84.669861	-0.258
401	04132500	37	-0.709	2.351	45.061681	-84.116972	-0.795
403	04135500	52	-0.417	1.994	44.824923	-84.745486	-0.503
405	04135700	47	-0.581	2.592	44.47739	-84.51463	-0.667
410	04140500	61	0.036	2.063	44.39902	-84.087376	-0.050
411	04141000	36	-0.240	0.269	44.301766	-84.110242	-0.327
412	04142000	77	-0.099	2.524	44.281365	-84.106617	-0.185
416	04145000	70	-0.643	2.786	42.821631	-83.920394	-0.729
417	04146000	81	0.203	1.703	42.950181	-83.37113	0.117
419	04148140	48	-0.096	2.028	42.924391	-83.475603	-0.182
420	04148500	81	-0.199	2.989	43.048657	-83.42843	-0.285
423	04150500	63	-0.458	2.548	43.5149	-82.98462	-0.544
428	04153500	48	-0.420	2.136	43.715165	-84.68446	-0.506
429	04154000	81	0.236	2.603	43.721066	-85.017581	0.150
431	04155500	77	-0.393	2.613	43.435713	-84.808186	-0.480
432	04156000	129	-0.752	3.374	43.768094	-84.652853	-0.839
434	04159492	70	-0.013	2.665	43.329818	-82.778587	-0.099
436	04159900	49	0.056	2.229	43.099904	-82.957271	-0.030
437	04160600	51	0.210	2.179	42.973695	-82.999192	0.124
438	04160800	54	0.361	1.324	42.74404	-83.310041	0.275
439	04161500	36	-0.007	1.590	42.815963	-83.314259	-0.093
440	04161580	49	0.358	1.395	42.82955	-83.149383	0.272
441	04163400	47	0.295	1.259	42.617207	-83.119502	0.209
442	04164000	67	-0.409	2.645	42.676816	-83.215789	-0.495
443	04164100	55	0.027	1.327	42.849998	-83.096006	-0.060
444	04164300	55	-0.156	1.103	42.899279	-82.903272	-0.243
445	04164500	66	-0.099	2.296	42.819869	-82.943739	-0.186
447	04166100	55	0.187	1.938	42.550811	-83.286618	0.101
448	04166300	55	-0.154	1.245	42.512078	-83.408281	-0.240
450	04167000	81	-0.281	1.947	42.3954	-83.484843	-0.368
451	04168000	66	0.076	1.927	42.290398	-83.480739	-0.010
453	04172000	62	-0.128	2.505	42.55877	-83.620015	-0.215
455	04173500	61	-0.118	2.100	42.272346	-84.008212	-0.204
456	04174500	77	-0.260	2.872	42.449032	-83.806598	-0.346
458	04176000	60	-0.414	2.664	42.021561	-84.131995	-0.500
565	03010800	40	-0.044	2.297	42.283863	-78.395722	-0.130
567	03011020	112	0.342	3.206	41.99019525	-78.36667868	0.256
569	03013000	56	0.149	2.460	42.28328167	-79.04219206	0.063
570	03013800	38	0.144	0.980	42.139155	-79.445038	0.057
573	04213500	77	0.291	2.639	42.4601977	-78.60296286	0.205
574	04214500	105	-0.113	2.153	42.7252456	-78.49810557	-0.199
575	04215000	78	0.068	1.981	42.82890079	-78.46705708	-0.018
576	04215500	74	0.129	2.132	42.68123243	-78.62283936	0.042
577	04216418	36	0.778	1.880	42.75146219	-78.2899967	0.692
578	04216500	86	-0.196	1.383	42.82763715	-78.16658997	-0.282
579	04217000	104	-0.200	2.233	42.82879345	-78.23840554	-0.286
581	04218518	41	1.138	1.930	42.92659263	-78.51076047	1.052
582	04219900	40	0.447	1.978	43.245883	-78.474136	0.361
583	04221500	57	0.563	2.490	42.046718	-77.842563	0.476
584	04223000	105	0.419	2.993	42.27145678	-78.01998055	0.332
587	04225000	61	-0.201	2.192	42.49932376	-77.73915717	-0.287
590	04229500	66	0.413	2.288	42.76275937	-77.54025802	0.327
591	04230380	51	0.395	1.616	42.7098881	-78.14702451	0.308
592	04230500	68	0.115	2.307	42.86736757	-78.04306882	0.029
593	04231000	68	0.090	2.119	43.06130855	-78.04772284	0.004
594	04232100	38	-0.051	1.634	43.21683475	-76.6318505	-0.137
597	04232630	48	-0.759	1.140	42.807007	-76.877472	-0.846
598	04233000	76	0.115	1.550	42.33899649	-76.56104982	0.029
599	04234000	88	0.629	2.093	42.54402526	-76.30603629	0.543
600	04234138	37	-0.212	0.892	42.856237	-77.363237	-0.298
601	04234200	54	-0.938	1.806	42.841633	-77.387735	-1.024
602	04235250	47	-0.462	2.003	42.85075439	-77.06454666	-0.549
603	04235255	36	-0.320	0.469	43.024284	-77.029564	-0.406
604	04242500	77	0.492	2.270	43.50724746	-75.58682056	0.405
605	04243500	117	0.013	2.064	43.00501952	-75.59305405	-0.074
606	04245200	55	0.108	1.516	42.87014252	-76.0614677	0.021
607	04245840	46	0.046	1.589	43.323161	-75.988471	-0.040
608	04249050	51	0.725	1.502	43.396789	-76.263947	0.639
609	04250750	56	-0.544	2.099	43.86884595	-75.84687335	-0.630
610	04252500	103	0.550	2.481	43.49028838	-75.0592335	0.464
611	04254500	106	0.186	2.564	43.70364546	-74.8084731	0.100
612	04256000	71	0.975	1.953	43.80117554	-75.13718581	0.889
614	04258700	60	0.100	1.986	43.795174	-75.68588	0.014
615	04262500	97	0.011	2.411	44.07898085	-75.19074193	-0.076
616	04265100	55	0.232	1.514	44.371627	-75.206005	0.146
617	04268200	52	-0.977	1.649	44.778562	-74.933511	-1.063
619	04269000	101	0.271	2.789	44.56729759	-74.54142349	0.185
620	04270000	86	-0.195	2.122	44.66879741	-74.14081388	-0.281
621	04270200	52	-0.260	1.959	44.8074209	-74.45622401	-0.346
622	04270700	54	0.274	2.024	44.861363	-74.181497	0.188
623	04273500	80	-0.045	2.786	44.47191114	-74.01720495	-0.131
624	04273700	50	0.184	1.817	44.61399059	-73.64928608	0.097
625	04274000	80	0.742	2.065	44.239822	-73.962574	0.655
626	04275000	90	0.686	2.297	44.24300561	-73.78565729	0.600
629	04276500	78	-0.199	2.428	44.24970287	-73.57228301	-0.286
631	042320578	42	0.374	0.829	43.193917	-77.295961	0.287
632	042490673	38	-0.239	1.004	43.480719	-76.024119	-0.325
635	03086500	66	0.483	1.950	40.87705213	-81.00839116	0.397
636	03089500	36	-0.093	1.281	40.96360336	-80.94916935	-0.180
637	03092000	52	0.805	1.340	41.09164138	-81.04053014	0.719
638	03092090	42	1.211	1.338	41.20834695	-81.19813027	1.125
639	03092500	44	0.168	1.984	41.15075153	-81.14865342	0.082
640	03093000	87	-0.130	1.989	41.27121022	-81.07705225	-0.217
643	03102950	42	-0.429	1.985	41.49952962	-80.63983826	-0.515
645	03109500	98	0.198	2.695	40.81121317	-80.6726732	0.112
646	03110000	73	0.414	2.167	40.50913399	-80.88501607	0.328
647	03111500	72	-0.117	2.090	40.24558502	-80.88568801	-0.203
649	03114000	54	0.032	2.127	39.93065235	-81.06941285	-0.054
650	03115400	41	0.976	2.322	39.66987463	-81.13708206	0.889
654	03117000	75	0.190	2.714	40.95956194	-81.66098459	0.104
655	03117500	77	0.260	2.403	40.7193111	-81.08943092	0.173
656	03118000	72	0.779	1.634	40.90780668	-81.2977104	0.693
658	03125000	43	-0.630	0.215	40.4788724	-81.39477906	-0.716
662	03134000	41	4.133	2.079	40.898899	-82.283597	4.046
663	03137000	56	0.504	2.658	40.45072436	-82.50430051	0.417
664	03139000	83	1.705	2.667	40.73098666	-81.96060945	1.619
666	03140000	77	0.655	1.435	40.41208632	-81.82153903	0.569
667	03144000	77	0.047	2.146	40.22784971	-82.2063317	-0.039
669	03146000	62	0.426	2.065	40.278336	-82.584115	0.339
670	03146500	74	0.056	2.730	40.11113276	-82.55361122	-0.030
675	03157000	74	0.894	1.949	39.63691607	-82.70315852	0.808
676	03159500	98	0.670	2.975	39.59527701	-82.35870232	0.583
677	03159540	48	1.433	2.193	39.1575635	-82.00949231	1.347
678	03202000	89	0.377	2.767	39.17879243	-82.40317061	0.291
679	03217500	45	-0.124	2.410	40.604229	-83.68041	-0.210
680	03218000	41	0.548	1.860	40.69594758	-83.06040188	0.462
681	03219500	115	2.275	2.754	40.57765203	-83.45455036	2.189
682	03220000	71	1.034	2.250	40.29867961	-83.39892531	0.947
683	03223000	56	0.828	2.196	40.69030569	-82.88003813	0.742
687	03230500	91	0.406	2.728	40.05708968	-83.37397009	0.320
691	03231500	59	0.096	3.585	40.1412145	-83.14650363	0.010
693	03232000	68	-0.299	2.396	39.61253582	-83.49205437	-0.386
696	03235000	39	0.053	1.061	39.600792	-82.790998	-0.033
700	03237280	64	-0.232	1.086	38.67492821	-83.23593428	-0.318
701	03237500	82	0.322	2.588	38.98732824	-83.51480783	0.236
702	03238500	85	0.024	2.338	39.04683807	-83.82419889	-0.063
705	03240000	61	0.011	2.111	39.83518905	-83.74385066	-0.075
706	03241500	61	-0.054	1.801	39.75168794	-83.72928442	-0.140
707	03241600	56	-0.465	0.624	39.669758	-83.892317	-0.551
708	03242050	63	0.501	2.563	39.752009	-83.871322	0.414
710	03247500	55	-0.326	2.678	39.14370328	-83.98128507	-0.412
712	03261500	101	0.325	2.733	40.39173268	-83.92882847	0.239
715	03264000	85	0.264	2.286	40.08383845	-84.69689842	0.178
719	03267000	87	0.130	2.210	40.23681662	-83.73706638	0.044
721	03269500	76	0.235	2.690	40.09550177	-83.75815414	0.149
723	03271000	72	-0.005	1.837	39.82602002	-84.34430004	-0.092
724	03271800	37	1.005	2.294	39.858812	-84.57670674	0.919
725	03272700	43	0.606	1.839	39.73634566	-84.66203828	0.520
726	03274100	36	-0.286	-0.534	39.472531	-84.757535	-0.372
729	04185000	97	-0.378	2.613	41.74232286	-84.34021732	-0.464
730	04186500	88	-0.477	2.521	40.67810869	-84.19921842	-0.564
731	04187500	53	-0.514	2.204	40.74282295	-83.93530796	-0.601
732	04189000	123	-0.222	2.539	40.89220682	-83.56985277	-0.309
734	04190500	37	0.339	0.713	40.758107	-84.655071	0.253
735	04192500	89	-0.080	3.744	41.12049534	-84.46863693	-0.166
737	04195500	97	-0.502	2.631	41.22575728	-83.6093703	-0.589
738	04196000	60	0.747	1.948	40.81140984	-82.80936321	0.661
739	04196500	72	-0.343	2.474	40.80827388	-83.00361006	-0.430
741	04196800	53	-0.705	2.360	40.72586325	-83.38813142	-0.791
743	04197100	53	-0.496	2.173	41.00890603	-82.89830871	-0.583
747	04198100	45	-0.018	0.692	41.210544	-82.519495	-0.104
748	04199000	60	0.702	2.569	41.13657522	-82.68244366	0.616
749	04199500	50	0.601	2.418	41.12898211	-82.40410602	0.515
750	04200500	69	0.999	2.598	41.17247652	-82.14037767	0.913
751	04201500	87	-0.082	2.427	41.24020798	-81.83850166	-0.169
752	04209000	80	0.390	2.391	41.48674826	-81.34170705	0.304
753	04210100	36	0.336	0.734	41.6007	-81.011181	0.250
755	04211500	36	0.583	1.914	41.71492721	-80.69418467	0.497
756	04212000	51	0.029	2.764	41.57050479	-80.88120038	-0.057
758	04212500	59	-0.023	2.083	41.79332522	-80.60065345	-0.109
759	04213000	89	-0.339	2.243	41.82578469	-80.42682514	-0.426
826	03010655	39	-0.451	1.992	41.91688101	-78.0502503	-0.537
827	03011800	48	0.329	1.587	41.77282679	-78.62126517	0.242
828	03015500	104	-0.004	2.481	41.92130055	-79.51003966	-0.091
829	03017500	46	0.095	2.366	41.69444715	-79.01404667	0.009
830	03020500	103	0.352	2.450	41.71330785	-79.67330919	0.266
831	03022540	39	-0.035	1.483	41.68071825	-79.97749178	-0.121
832	03024000	54	0.382	3.028	41.81116255	-79.98537145	0.296
833	03025000	47	-0.418	2.213	41.56247945	-79.86168601	-0.505
834	03026500	62	0.636	0.894	41.66186432	-78.60733845	0.550
835	03028000	60	0.004	1.794	41.64346162	-78.69828165	-0.082
836	03029500	75	0.442	2.906	41.45430408	-78.80451447	0.355
837	03032500	104	0.696	2.726	41.12848154	-79.01603246	0.610
838	03034000	75	0.834	2.197	40.97651549	-78.8727829	0.747
839	03034500	74	0.533	1.941	40.8189292	-78.97973378	0.447
840	03042000	62	0.883	2.285	40.51454654	-78.91130409	0.797
841	03047500	48	0.956	3.154	40.367077	-78.978976	0.870
842	03049000	73	0.752	2.140	40.85343889	-79.69500579	0.666
843	03049800	51	1.289	0.760	40.54711992	-79.91874959	1.202
844	03072000	73	-0.255	2.356	39.72070996	-80.21880604	-0.342
845	03073000	78	-0.664	2.256	39.91183288	-80.24680779	-0.751
846	03078500	51	0.465	1.387	39.704488	-79.012658	0.379
847	03079000	99	0.719	2.583	39.82500529	-79.09299596	0.633
848	03080000	100	-0.138	2.083	39.97611082	-79.26908955	-0.224
849	03083000	51	0.657	0.503	40.10193256	-79.4723158	0.571
850	03102500	97	0.005	1.970	41.43959466	-80.28050668	-0.081
852	03106000	98	0.589	2.551	40.82396713	-79.98020975	0.503
853	03108000	88	0.419	2.253	40.47852663	-80.36034393	0.332
865	04287000	80	0.262	1.884	44.13318532	-72.68701646	0.176
866	04288000	150	0.785	2.148	44.17281657	-72.83915952	0.699
867	04292000	87	0.001	2.498	44.56369603	-72.43939425	-0.085
869	04293800	47	-0.509	0.237	44.881128	-72.977582	-0.595
870	04024430	40	1.066	2.625	46.49024312	-92.36100094	0.980
871	04025500	69	0.354	2.068	46.4717291	-91.68721671	0.268
872	04027000	72	0.323	2.796	46.33921844	-90.65976745	0.237
873	04060993	71	0.387	2.576	46.03612555	-88.68271159	0.301
875	04064500	69	0.171	2.729	45.8339856	-88.63378086	0.084
876	04069500	60	0.264	3.046	45.37654032	-88.29448472	0.178
877	04071000	99	0.020	2.845	45.17010115	-88.48683258	-0.066
882	04073500	117	-0.179	3.120	43.80838353	-89.28355469	-0.265
885	04077400	91	0.458	2.917	45.273316	-88.87694758	0.372
887	04078500	85	0.124	2.581	44.84071028	-89.04165111	0.038
888	04079000	89	-0.839	3.351	44.91735002	-88.80934772	-0.925
889	04080000	65	-0.572	2.712	44.55974996	-89.10362231	-0.659
890	04081000	62	-0.553	2.438	44.4002305	-89.26791094	-0.639
893	04085200	55	0.091	2.091	44.53816626	-87.69712514	0.005
895	04085427	40	-0.039	2.715	44.10271682	-88.0337735	-0.125
896	04086000	70	-0.555	2.628	43.77407675	-88.03163172	-0.641
897	04086500	75	-0.040	2.078	43.33761833	-88.12974559	-0.126
899	04087000	99	0.192	2.843	43.47000271	-88.11600866	0.106
900	04087030	37	0.453	1.530	43.2238052	-88.12901631	0.367
901	04087050	42	-0.295	0.921	43.2329402	-88.03484213	-0.381
902	04087088	39	0.290	1.256	43.04452926	-88.08377587	0.203
903	04087120	52	0.359	2.093	43.14059663	-88.07679719	0.273
904	04087159	37	0.045	1.267	42.97389452	-87.94233239	-0.041
905	04087204	50	1.213	1.411	42.89832882	-87.9144636	1.127
906	04087220	50	0.802	1.694	42.93706582	-88.03603713	0.716
907	04087240	50	0.148	2.278	42.82222111	-87.98671181	0.062
908	04087257	42	-0.502	1.578	42.65996952	-87.89430819	-0.588
959	03054500	84	0.169	2.960	38.84298881	-80.046859	0.083
960	03061500	104	-0.318	2.064	39.55203899	-80.3528044	-0.405
961	03062400	37	0.962	1.043	39.56144927	-79.92159397	0.876
962	03066000	92	0.806	1.935	39.11187555	-79.40260785	0.720
963	03070000	79	0.684	2.971	38.98109108	-79.63111391	0.598
964	03070500	100	1.058	2.301	39.70261372	-79.61786096	0.972
966	03114500	93	0.183	2.661	39.37224799	-80.75775956	0.097
967	03153500	39	-0.331	2.961	38.87301335	-80.73331488	-0.417
968	03154000	66	-0.192	2.311	38.73489222	-81.13851722	-0.278
970	03155500	61	-0.071	2.656	39.17242939	-81.02582343	-0.158
972	03200500	58	-0.430	2.934	37.99142248	-81.64335511	-0.517
973	03201000	55	-0.172	2.377	38.62899514	-81.49607929	-0.258
974	03204000	61	-1.374	3.088	37.74866517	-81.75199574	-1.460
975	03204500	46	0.444	2.406	38.24097831	-82.02254983	0.358
976	03206600	49	-0.291	1.585	37.95322578	-82.24187727	-0.377
977	03207020	43	-0.030	2.477	38.05238627	-82.33693573	-0.116
